Tweet ID,User ID,Tweet Content,Timestamp,Location,Retweets,Likes,Hashtags,Sentiment,Sentiment_Label,Latitude,Longitude
fb7d0633-5396-4cbd-9d87-d04dfb22499a,17191034-b9ff-47b0-8b0f-4067e308079d,"Just attended Taylor Swift's Eras Tour at Rogers Centre, Toronto! Amazing experience! #Toronto #Events",11/22/2024 21:39,"Rogers Centre, Toronto",725,844,#TaylorSwift'sErasTour,0.75,Positive,43.64165985,-79.38919762
ae3f1746-267b-423f-b1ee-9977d228ab18,a21ddcaa-6f97-4876-946d-43a8a0d51dfa,"Just attended Toronto Light Festival at Distillery District, Toronto! Amazing experience! #Toronto #Events",2/22/2024 15:12,"Distillery District, Toronto",964,1396,#TorontoLightFestival,0.625,Positive,43.6502947,-79.3595401
1ec46248-d43f-480e-84de-601bacf42bf0,cb47df04-e0ad-4a34-8107-e0aa03c497d0,"Score each cause. Quality throughout beautiful instead.
Despite measure ago current.",11/17/2024 8:17,"Rogers Centre, Toronto",832,581,#TaylorSwift'sErasTour,0.425,Positive,43.64165985,-79.38919762
3e4db8a5-6c23-4b03-98c7-f1e39a82ac24,a776bada-5d9c-49a1-8e3d-51db8d3494b0,"Just attended Toronto International Boat Show at Enercare Centre, Toronto! Amazing experience! #Toronto #Events",1/19/2024 15:34,"Enercare Centre, Toronto",252,2327,#TorontoInternationalBoatShow,0.375,Positive,43.63535575,-79.41323695
c560c9d5-d378-4dbe-b586-fb0bf4d9660b,eb93c2b6-745c-4d70-b0d5-775e133aae36,Stop peace technology officer relate. Product significant world. Term herself law street class.,1/21/2024 5:28,"Enercare Centre, Toronto",400,2624,#TorontoInternationalBoatShow,0.375,Positive,43.63535575,-79.41323695
c83a786c-1327-4e4e-b949-19c6198c1871,b73bd6ea-9902-451c-b103-df0d28275df6,Then fire pretty how trip learn enter. Seat much section investment on.,2/7/2024 1:14,"Distillery District, Toronto",335,4188,#TorontoLightFestival,0.225,Positive,43.6502947,-79.3595401
59bf2139-9eae-422f-b379-b3b5e863076c,7237624c-e6e2-4533-be63-273bb0f34b54,Seem shoulder future fall citizen about reveal. Will seven medical blood personal.,11/17/2024 4:18,"Rogers Centre, Toronto",169,2118,#TaylorSwift'sErasTour,0,Neutral,43.64165985,-79.38919762
e219d954-f25b-4b65-981a-15aef6f82749,df9c1099-6c8d-4672-8f93-9cf57eaca8ff,She campaign little near enter their institution. Up sense ready require human.,1/17/2024 8:12,"Distillery District, Toronto",659,2820,#TorontoLightFestival,0.028125,Positive,43.6502947,-79.3595401
2ec104e9-c880-400b-a353-b296f0602a0c,c98ebcb7-d877-41d7-af1d-c8cc062ec54e,Best issue interest level. Pull worker better.,2/5/2024 8:37,"Distillery District, Toronto",598,2129,#TorontoLightFestival,0.75,Positive,43.6502947,-79.3595401
b88241d2-e83f-4969-a320-e478ee5ecc20,4d8437be-830b-4906-a21e-89509537f914,Magazine degree husband around her world. Unit size expect recent room.,11/16/2024 23:54,"Rogers Centre, Toronto",242,2313,#TaylorSwift'sErasTour,0,Neutral,43.64165985,-79.38919762
2b0b756e-bf36-4a4a-b1a9-f2ce5b75b931,7e43c5cc-375a-415e-9d29-9dc544d593f2,"Just attended Toronto Sceptres Games at Coca-Cola Coliseum, Toronto! Amazing experience! #Toronto #Events",1/10/2025 12:28,"Coca-Cola Coliseum, Toronto",590,1191,#TorontoSceptresGames,0.75,Positive,43.6356495,-79.41483662
25fd9a6d-67ab-44d7-8ce0-bcd05db230cf,35291823-2665-42cc-8b46-0f409ba32def,"Price north first end prove fire. How public feel first sell.
Leader your you. Mrs media car give.",1/25/2024 3:17,"Enercare Centre, Toronto",235,898,#TorontoInternationalBoatShow,0.166666667,Positive,43.63535575,-79.41323695
cda76d74-1180-44c2-bdcf-1b35d6dae6d2,86cd7f4b-722a-4236-a84c-e5d6109eaca4,Choice example decision garden reach table measure. Town suffer begin interest everybody.,11/19/2024 15:06,"Rogers Centre, Toronto",11,4211,#TaylorSwift'sErasTour,0,Neutral,43.64165985,-79.38919762
42087a9e-213e-44c9-9232-d899c612bc3b,e307c95d-2145-4aa2-828f-f727428e6c41,Agent say forward us soon ten. Environment skin blue the teach.,1/19/2024 10:41,"Enercare Centre, Toronto",606,2663,#TorontoInternationalBoatShow,0,Neutral,43.63535575,-79.41323695
